"arc_length","X_VELOCITY"
0,nan
0.000434548,nan
0.000869103,nan
0.00130366,nan
0.00173821,nan
0.00217276,nan
0.00260732,nan
0.00304187,nan
0.00347642,nan
0.00391097,nan
0.00434553,nan
0.00478008,nan
0.00521463,nan
0.00564919,nan
0.00608374,nan
0.0065183,nan
0.00695284,nan
0.0073874,nan
0.00782195,nan
0.0082565,nan
0.00869106,nan
0.00912561,nan
0.00956017,nan
0.00999472,nan
0.0104293,nan
0.0108638,nan
0.0112984,nan
0.0117329,nan
0.0121675,nan
0.012602,nan
0.0130366,nan
0.0134711,nan
0.0139057,nan
0.0143403,nan
0.0147748,nan
0.0152094,nan
0.0156439,nan
0.0160785,nan
0.016513,nan
0.0169476,nan
0.0173821,nan
0.0178167,nan
0.0182512,nan
0.0186858,nan
0.0191203,nan
0.0195549,nan
0.0199894,nan
0.020424,nan
0.0208585,nan
0.0212931,nan
0.0217277,nan
0.0221622,nan
0.0225968,nan
0.0230313,nan
0.0234659,nan
0.0239004,nan
0.024335,nan
0.0247695,nan
0.0252041,nan
0.0256386,nan
0.0260732,nan
0.0265077,nan
0.0269423,nan
0.0273768,nan
0.0278114,nan
0.0282459,nan
0.0286805,nan
0.0291151,nan
0.0295496,nan
0.0299842,nan
0.0304187,nan
0.0308533,nan
0.0312878,nan
0.0317224,nan
0.0321569,nan
0.0325915,nan
0.033026,nan
0.0334606,nan
0.0338951,nan
0.0343297,nan
0.0347642,nan
0.0351988,nan
0.0356334,nan
0.0360679,nan
0.0365025,nan
0.036937,nan
0.0373716,nan
0.0378061,nan
0.0382407,nan
0.0386752,nan
0.0391098,nan
0.0395443,nan
0.0399789,nan
0.0404134,nan
0.040848,nan
0.0412825,nan
0.0417171,nan
0.0421516,nan
0.0425862,nan
0.0430208,nan
0.0434553,nan
0.0438899,nan
0.0443244,nan
0.044759,nan
0.0451935,nan
0.0456281,nan
0.0460626,nan
0.0464972,nan
0.0469317,nan
0.0473663,nan
0.0478008,nan
0.0482354,nan
0.0486699,nan
0.0491045,nan
0.0495391,nan
0.0499736,nan
0.0504082,nan
0.0508427,nan
0.0512773,nan
0.0517118,nan
0.0521464,nan
0.0525809,nan
0.0530155,nan
0.05345,nan
0.0538846,nan
0.0543191,nan
0.0547537,nan
0.0551882,nan
0.0556228,nan
0.0560573,nan
0.0564919,nan
0.0569265,nan
0.057361,nan
0.0577956,nan
0.0582301,nan
0.0586647,nan
0.0590992,nan
0.0595338,nan
0.0599683,nan
0.0604029,nan
0.0608374,nan
0.061272,nan
0.0617065,nan
0.0621411,nan
0.0625756,nan
0.0630102,nan
0.0634447,nan
0.0638793,nan
0.0643139,nan
0.0647484,nan
0.065183,nan
0.0656175,nan
0.0660521,nan
0.0664866,nan
0.0669212,nan
0.0673557,nan
0.0677903,nan
0.0682248,nan
0.0686594,nan
0.0690939,nan
0.0695285,nan
0.069963,nan
0.0703976,nan
0.0708322,nan
0.0712667,nan
0.0717013,nan
0.0721358,nan
0.0725704,nan
0.0730049,nan
0.0734395,nan
0.073874,nan
0.0743086,nan
0.0747431,nan
0.0751777,nan
0.0756122,nan
0.0760468,nan
0.0764813,nan
0.0769159,nan
0.0773505,nan
0.077785,nan
0.0782196,nan
0.0786541,nan
0.0790887,nan
0.0795232,nan
0.0799578,nan
0.0803923,nan
0.0808269,nan
0.0812614,nan
0.081696,nan
0.0821305,nan
0.0825651,nan
0.0829996,nan
0.0834342,nan
0.0838687,nan
0.0843033,nan
0.0847379,nan
0.0851724,nan
0.085607,nan
0.0860415,nan
0.0864761,nan
0.0869106,nan
0.0873452,nan
0.0877797,nan
0.0882143,nan
0.0886488,nan
0.0890834,nan
0.0895179,nan
0.0899525,nan
0.090387,nan
0.0908216,nan
0.0912561,nan
0.0916907,nan
0.0921253,nan
0.0925598,nan
0.0929944,nan
0.0934289,nan
0.0938635,nan
0.094298,nan
0.0947326,nan
0.0951671,nan
0.0956017,nan
0.0960362,nan
0.0964708,nan
0.0969053,nan
0.0973399,0.067489
0.0977744,0.067489
0.098209,0.067489
0.0986436,0.067489
0.0990781,0.067489
0.0995127,0.067489
0.0999472,0.067489
0.100382,0.163689
0.100816,0.163689
0.101251,0.163689
0.101685,0.163689
0.10212,0.163689
0.102555,0.163689
0.102989,0.163689
0.103424,0.1981
0.103858,0.1981
0.104293,0.1981
0.104727,0.1981
0.105162,0.1981
0.105596,0.1981
0.106031,0.1981
0.106466,0.206096
0.1069,0.206096
0.107335,0.206096
0.107769,0.206096
0.108204,0.206096
0.108638,0.206096
0.109073,0.206096
0.109507,0.207541
0.109942,0.207541
0.110376,0.207541
0.110811,0.207541
0.111246,0.207541
0.11168,0.207541
0.112115,0.207541
0.112549,0.207615
0.112984,0.207615
0.113418,0.207615
0.113853,0.207615
0.114287,0.207615
0.114722,0.207615
0.115157,0.207427
0.115591,0.207427
0.116026,0.207427
0.11646,0.207427
0.116895,0.207427
0.117329,0.207427
0.117764,0.207427
0.118198,0.207207
0.118633,0.207207
0.119068,0.207207
0.119502,0.207207
0.119937,0.207207
0.120371,0.207207
0.120806,0.207207
0.12124,0.207133
0.121675,0.207133
0.122109,0.207133
0.122544,0.207133
0.122979,0.207133
