"arc_length","UMean_Magnitude"
0,nan
4.42659e-05,nan
8.85318e-05,nan
0.000132798,nan
0.000177064,nan
0.000221328,nan
0.000265593,nan
0.000309859,nan
0.000354125,nan
0.000398391,nan
0.000442657,nan
0.000486921,nan
0.000531187,nan
0.000575453,nan
0.000619719,nan
0.000663985,nan
0.00070825,nan
0.000752516,nan
0.00079678,nan
0.000841046,nan
0.000885312,nan
0.000929578,nan
0.000973844,nan
0.00101811,nan
0.00106237,nan
0.00110664,nan
0.00115091,nan
0.00119517,nan
0.00123944,nan
0.0012837,nan
0.00132797,nan
0.00137223,nan
0.0014165,nan
0.00146076,nan
0.00150503,nan
0.0015493,nan
0.00159356,nan
0.00163783,nan
0.00168209,nan
0.00172636,nan
0.00177062,nan
0.00181489,nan
0.00185915,nan
0.00190342,nan
0.00194769,nan
0.00199195,nan
0.00203622,nan
0.00208048,nan
0.00212475,nan
0.00216901,nan
0.00221328,0.100988
0.00225755,0.403545
0.00230181,0.706102
0.00234608,1.00866
0.00239034,1.3112
0.00243461,1.61376
0.00247887,1.91632
0.00252314,2.21887
0.0025674,2.52143
0.00261167,2.82399
0.00265593,3.12653
0.0027002,3.42909
0.00274447,3.73164
0.00278873,4.0342
0.002833,4.33676
0.00287726,4.63931
0.00292153,4.94186
0.00296579,5.24441
0.00301006,5.3077
0.00305433,5.35406
0.00309859,5.40042
0.00314286,5.44678
0.00318712,5.49314
0.00323139,5.5395
0.00327565,5.58586
0.00331992,5.63222
0.00336418,5.67858
0.00340845,5.72494
0.00345272,5.7713
0.00349698,5.81766
0.00354125,5.86402
0.00358551,5.91039
0.00362978,5.95675
0.00367404,6.00311
0.00371831,6.04947
0.00376257,6.07395
0.00380684,6.07933
0.00385111,6.08471
0.00389537,6.09009
0.00393964,6.09548
0.0039839,6.10086
0.00402817,6.10625
0.00407243,6.11163
0.0041167,6.11702
0.00416096,6.1224
0.00420523,6.12779
0.0042495,6.13318
0.00429376,6.13857
0.00433803,6.14396
0.00438229,6.14935
0.00442656,6.15474
0.00447082,6.16013
0.00451509,6.16486
0.00455935,6.16533
0.00460362,6.16579
0.00464789,6.16626
0.00469215,6.16672
0.00473642,6.16719
0.00478068,6.16766
0.00482495,6.16812
0.00486921,6.16859
0.00491348,6.16906
0.00495775,6.16952
0.00500201,6.16999
0.00504628,6.17046
0.00509054,6.17093
0.00513481,6.1714
0.00517907,6.17186
0.00522334,6.17233
0.0052676,6.1728
0.00531187,6.17301
0.00535614,6.17313
0.0054004,6.17325
0.00544467,6.17337
0.00548893,6.17348
0.0055332,6.1736
0.00557746,6.17372
0.00562173,6.17384
0.00566599,6.17396
0.00571026,6.17408
0.00575453,6.1742
0.00579879,6.17432
0.00584306,6.17444
0.00588732,6.17456
0.00593159,6.17468
0.00597585,6.17481
0.00602012,6.17493
0.00606439,6.17505
0.00610865,6.17517
0.00615292,6.17529
0.00619718,6.17542
0.00624145,6.17554
0.00628571,6.17567
0.00632998,6.17579
0.00637424,6.17591
0.00641851,6.17604
0.00646277,6.17616
0.00650704,6.17629
0.00655131,6.17642
0.00659557,6.17654
0.00663984,6.17667
0.0066841,6.1768
0.00672837,6.17692
0.00677263,6.17705
0.0068169,6.17718
0.00686117,6.1773
0.00690543,6.17743
0.0069497,6.17755
0.00699396,6.17768
0.00703823,6.1778
0.00708249,6.17793
0.00712676,6.17806
0.00717102,6.17818
0.00721529,6.17831
0.00725955,6.17844
0.00730382,6.17857
0.00734809,6.17869
0.00739235,6.17882
0.00743662,6.17895
0.00748088,6.17908
0.00752515,6.17921
0.00756941,6.17934
0.00761368,6.17946
0.00765795,6.17959
0.00770221,6.17971
0.00774648,6.17983
0.00779074,6.17996
0.00783501,6.18008
0.00787927,6.1802
0.00792354,6.18033
0.0079678,6.18045
0.00801207,6.18057
0.00805634,6.1807
0.0081006,6.18082
0.00814487,6.18095
0.00818913,6.18108
0.0082334,6.1812
0.00827766,6.18133
0.00832193,6.18146
0.0083662,6.18158
0.00841046,6.1817
0.00845473,6.18182
0.00849899,6.18194
0.00854326,6.18206
0.00858752,6.18218
0.00863179,6.1823
0.00867605,6.18243
0.00872032,6.18255
0.00876459,6.18267
0.00880885,6.18279
0.00885312,6.18292
0.00889738,6.18304
0.00894165,6.18316
0.00898591,6.18329
0.00903018,6.18341
0.00907444,6.18354
0.00911871,6.18366
0.00916298,6.18378
0.00920724,6.1839
0.00925151,6.18402
0.00929577,6.18414
0.00934004,6.18426
0.0093843,6.18439
0.00942857,6.18451
0.00947283,6.18463
0.0095171,6.18475
0.00956137,6.18487
0.00960563,6.185
0.0096499,6.18512
0.00969416,6.18524
0.00973843,6.18537
0.00978269,6.18549
0.00982696,6.18562
0.00987122,6.18574
0.00991549,6.18587
0.00995976,6.18599
0.010004,6.18611
0.0100483,6.18624
0.0100926,6.18636
0.0101368,6.18648
0.0101811,6.18661
0.0102253,6.18673
0.0102696,6.18686
0.0103139,6.18698
0.0103581,6.18711
0.0104024,6.18723
0.0104467,6.18736
0.0104909,6.18749
0.0105352,6.18761
0.0105795,6.18774
0.0106237,6.18787
0.010668,6.188
0.0107123,6.18812
0.0107565,6.18825
0.0108008,6.18838
0.0108451,6.18851
0.0108893,6.18863
0.0109336,6.18876
0.0109779,6.18889
0.0110221,6.18902
0.0110664,6.18915
0.0111107,6.18928
0.0111549,6.18941
0.0111992,6.18954
0.0112435,6.18967
0.0112877,6.1898
0.011332,6.18993
0.0113763,6.19006
0.0114205,6.1902
0.0114648,6.19033
0.0115091,6.19046
0.0115533,6.19059
0.0115976,6.19072
0.0116418,6.19086
0.0116861,6.19099
0.0117304,6.19112
0.0117746,6.19126
0.0118189,6.19139
0.0118632,6.19153
0.0119074,6.19166
0.0119517,6.1918
0.011996,6.19193
0.0120402,6.19207
0.0120845,6.19221
0.0121288,6.19234
0.012173,6.19248
0.0122173,6.19262
0.0122616,6.19275
0.0123058,6.19289
0.0123501,6.19303
0.0123944,6.19316
0.0124386,6.1933
0.0124829,6.19344
0.0125272,6.19358
0.0125714,6.19372
0.0126157,6.19385
0.01266,6.19399
0.0127042,6.19413
0.0127485,6.19427
0.0127928,6.19441
0.012837,6.19455
0.0128813,6.19469
0.0129255,6.19484
0.0129698,6.19498
0.0130141,6.19512
0.0130583,6.19526
0.0131026,6.19539
0.0131469,6.19553
0.0131911,6.19567
0.0132354,6.19581
0.0132797,6.19595
0.0133239,6.19609
0.0133682,6.19624
0.0134125,6.19638
0.0134567,6.19652
0.013501,6.19666
0.0135453,6.1968
0.0135895,6.19695
0.0136338,6.19709
0.0136781,6.19723
0.0137223,6.19738
0.0137666,6.19752
0.0138109,6.19766
0.0138551,6.1978
0.0138994,6.19794
0.0139437,6.19807
0.0139879,6.19821
0.0140322,6.19835
0.0140765,6.19849
0.0141207,6.19864
0.014165,6.19878
0.0142093,6.19892
0.0142535,6.19906
0.0142978,6.1992
0.014342,6.19934
0.0143863,6.19949
0.0144306,6.19963
0.0144748,6.19977
0.0145191,6.19992
0.0145634,6.20005
0.0146076,6.20019
0.0146519,6.20032
0.0146962,6.20046
0.0147404,6.20059
0.0147847,6.20073
0.014829,6.20086
0.0148732,6.201
0.0149175,6.20114
0.0149618,6.20128
0.015006,6.20141
0.0150503,6.20155
0.0150946,6.20169
0.0151388,6.20183
0.0151831,6.20197
0.0152274,6.20211
0.0152716,6.20225
0.0153159,6.20238
0.0153602,6.2025
0.0154044,6.20263
0.0154487,6.20276
0.015493,6.20289
0.0155372,6.20301
0.0155815,6.20314
0.0156257,6.20327
0.01567,6.2034
0.0157143,6.20353
0.0157585,6.20366
0.0158028,6.20379
0.0158471,6.20392
0.0158913,6.20405
0.0159356,6.20418
0.0159799,6.20431
0.0160241,6.20444
0.0160684,6.20457
0.0161127,6.20468
0.0161569,6.2048
0.0162012,6.20491
0.0162455,6.20503
0.0162897,6.20514
0.016334,6.20526
0.0163783,6.20538
0.0164225,6.20549
0.0164668,6.20561
0.0165111,6.20573
0.0165553,6.20585
0.0165996,6.20596
0.0166439,6.20608
0.0166881,6.2062
0.0167324,6.20632
0.0167767,6.20644
0.0168209,6.20656
0.0168652,6.20666
0.0169095,6.20677
0.0169537,6.20687
0.016998,6.20697
0.0170422,6.20707
0.0170865,6.20717
0.0171308,6.20728
0.017175,6.20738
0.0172193,6.20748
0.0172636,6.20759
0.0173078,6.20769
0.0173521,6.20779
0.0173964,6.2079
0.0174406,6.208
0.0174849,6.20811
0.0175292,6.20821
0.0175734,6.20832
0.0176177,6.20842
0.017662,6.20851
0.0177062,6.2086
0.0177505,6.20868
0.0177948,6.20877
0.017839,6.20886
0.0178833,6.20895
0.0179276,6.20904
0.0179718,6.20913
0.0180161,6.20922
0.0180604,6.20931
0.0181046,6.2094
0.0181489,6.2095
0.0181932,6.20959
0.0182374,6.20968
0.0182817,6.20977
0.0183259,6.20987
0.0183702,6.20996
0.0184145,6.21004
0.0184587,6.21012
0.018503,6.2102
0.0185473,6.21028
0.0185915,6.21036
0.0186358,6.21044
0.0186801,6.21052
0.0187243,6.2106
0.0187686,6.21068
0.0188129,6.21077
0.0188571,6.21085
0.0189014,6.21093
0.0189457,6.21101
0.0189899,6.2111
0.0190342,6.21118
0.0190785,6.21127
0.0191227,6.21135
0.019167,6.21143
0.0192113,6.21151
0.0192555,6.21158
0.0192998,6.21166
0.0193441,6.21173
0.0193883,6.21181
0.0194326,6.21189
0.0194769,6.21197
0.0195211,6.21205
0.0195654,6.21212
0.0196097,6.2122
0.0196539,6.21228
0.0196982,6.21236
0.0197424,6.21244
0.0197867,6.21252
0.019831,6.2126
0.0198752,6.21268
0.0199195,6.21276
0.0199638,6.21284
0.020008,6.21291
0.0200523,6.21299
0.0200966,6.21307
0.0201408,6.21315
0.0201851,6.21323
0.0202294,6.2133
0.0202736,6.21338
0.0203179,6.21346
0.0203622,6.21354
0.0204064,6.21362
0.0204507,6.2137
0.020495,6.21378
0.0205392,6.21386
0.0205835,6.21394
0.0206278,6.21402
0.020672,6.21411
0.0207163,6.21418
0.0207606,6.21426
0.0208048,6.21434
0.0208491,6.21442
0.0208934,6.2145
0.0209376,6.21458
0.0209819,6.21466
0.0210261,6.21474
0.0210704,6.21482
0.0211147,6.2149
0.0211589,6.21498
0.0212032,6.21506
0.0212475,6.21515
0.0212917,6.21523
0.021336,6.21531
0.0213803,6.21539
0.0214245,6.21548
0.0214688,6.21556
0.0215131,6.21563
0.0215573,6.21571
0.0216016,6.21578
0.0216459,6.21586
0.0216901,6.21594
0.0217344,6.21601
0.0217787,6.21609
0.0218229,6.21617
0.0218672,6.21625
0.0219115,6.21633
0.0219557,6.21641
0.022,6.21649
0.0220443,6.21656
0.0220885,6.21664
0.0221328,6.21672
0.0221771,6.2168
0.0222213,6.21688
0.0222656,6.21695
0.0223099,6.21702
0.0223541,6.21709
0.0223984,6.21716
0.0224426,6.21723
0.0224869,6.2173
0.0225312,6.21737
0.0225754,6.21744
0.0226197,6.21751
0.022664,6.21758
0.0227082,6.21766
0.0227525,6.21773
0.0227968,6.2178
0.022841,6.21787
0.0228853,6.21795
0.0229296,6.21802
0.0229738,6.21809
0.0230181,6.21815
0.0230624,6.2182
0.0231066,6.21824
0.0231509,6.21829
0.0231952,6.21833
0.0232394,6.21838
0.0232837,6.21843
0.023328,6.21847
0.0233722,6.21852
0.0234165,6.21857
0.0234608,6.21862
0.023505,6.21867
0.0235493,6.21871
0.0235936,6.21876
0.0236378,6.21881
0.0236821,6.21886
0.0237263,6.21891
0.0237706,6.21896
0.0238149,6.21901
0.0238591,6.21906
0.0239034,6.21911
0.0239477,6.21914
0.0239919,6.21917
0.0240362,6.2192
0.0240805,6.21923
0.0241247,6.21925
0.024169,6.21928
0.0242133,6.21931
0.0242575,6.21934
0.0243018,6.21937
0.0243461,6.2194
0.0243903,6.21943
0.0244346,6.21946
0.0244789,6.21949
0.0245231,6.21952
0.0245674,6.21955
0.0246117,6.21958
0.0246559,6.21962
0.0247002,6.21965
0.0247445,6.21968
0.0247887,6.21971
0.024833,6.21975
0.0248773,6.21976
0.0249215,6.21977
0.0249658,6.21978
0.0250101,6.2198
0.0250543,6.21981
0.0250986,6.21982
0.0251428,6.21983
0.0251871,6.21984
0.0252314,6.21986
0.0252756,6.21987
0.0253199,6.21988
0.0253642,6.2199
0.0254084,6.21991
0.0254527,6.21993
0.025497,6.21994
0.0255412,6.21996
0.0255855,6.21997
0.0256298,6.21999
0.025674,6.22
0.0257183,6.22002
0.0257626,6.22004
0.0258068,6.22004
0.0258511,6.22004
0.0258954,6.22004
0.0259396,6.22004
0.0259839,6.22004
0.0260282,6.22004
0.0260724,6.22004
0.0261167,6.22004
0.026161,6.22004
0.0262052,6.22004
0.0262495,6.22004
0.0262938,6.22005
0.026338,6.22005
0.0263823,6.22005
0.0264266,6.22005
0.0264708,6.22006
0.0265151,6.22006
0.0265593,6.22006
0.0266036,6.22007
0.0266479,6.22007
0.0266921,6.22008
0.0267364,6.22007
0.0267807,6.22006
0.0268249,6.22005
0.0268692,6.22004
0.0269135,6.22003
0.0269577,6.22002
0.027002,6.22001
0.0270463,6.22
0.0270905,6.21999
0.0271348,6.21998
0.0271791,6.21997
0.0272233,6.21996
0.0272676,6.21996
0.0273119,6.21995
0.0273561,6.21994
0.0274004,6.21994
0.0274447,6.21993
0.0274889,6.21992
0.0275332,6.21992
0.0275775,6.21991
0.0276217,6.21991
0.027666,6.21989
0.0277103,6.21987
0.0277545,6.21985
0.0277988,6.21983
0.027843,6.21981
0.0278873,6.21979
0.0279316,6.21978
0.0279758,6.21976
0.0280201,6.21974
0.0280644,6.21972
0.0281086,6.21971
0.0281529,6.21969
0.0281972,6.21967
0.0282414,6.21966
0.0282857,6.21964
0.02833,6.21963
0.0283742,6.21961
0.0284185,6.2196
0.0284628,6.21958
0.028507,6.21957
0.0285513,6.21955
0.0285956,6.21953
0.0286398,6.2195
0.0286841,6.21948
0.0287284,6.21946
0.0287726,6.21943
0.0288169,6.21941
0.0288612,6.21938
0.0289054,6.21936
0.0289497,6.21934
0.028994,6.21932
0.0290382,6.21929
0.0290825,6.21927
0.0291268,6.21925
0.029171,6.21923
0.0292153,6.21921
0.0292595,6.21919
0.0293038,6.21917
0.0293481,6.21915
0.0293923,6.21913
0.0294366,6.21911
0.0294809,6.21908
0.0295251,6.21906
0.0295694,6.21903
0.0296137,6.21901
0.0296579,6.21898
0.0297022,6.21895
0.0297465,6.21893
0.0297907,6.2189
0.029835,6.21888
0.0298793,6.21885
0.0299235,6.21883
0.0299678,6.21881
0.0300121,6.21878
0.0300563,6.21876
0.0301006,6.21874
0.0301449,6.21872
0.0301891,6.21869
0.0302334,6.21867
0.0302777,6.21865
